Timestamp,User Count,Type,Name,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756011387,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756011388,1,,Aggregated,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,300,300,1,0,298.14281896688044,298.14281896688044,298.14281896688044,298.14281896688044,5183.0
1756011389,1,,Aggregated,0.000000,0.000000,39,39,300,300,300,300,300,300,300,300,300,300,300,2,0,39,168.43591950600967,38.729020045138896,298.14281896688044,5183.0
1756011390,1,,Aggregated,0.000000,0.000000,27,27,39,39,300,300,300,300,300,300,300,300,300,3,0,39,121.23756801399092,26.84086502995342,298.14281896688044,5183.0
1756011391,1,,Aggregated,1.000000,0.000000,27,28,39,39,300,300,300,300,300,300,300,300,300,4,0,28,97.99725201446563,26.84086502995342,298.14281896688044,5183.0
1756011392,1,,Aggregated,1.000000,0.000000,26,27,28,39,39,300,300,300,300,300,300,300,300,5,0,28,83.61737141385674,26.097849011421204,298.14281896688044,5183.0
1756011393,1,,Aggregated,1.000000,0.000000,26,27,33,33,39,39,300,300,300,300,300,300,300,6,0,28,75.14106317345674,26.097849011421204,298.14281896688044,5183.0
1756011394,1,,Aggregated,1.000000,0.000000,26,27,33,39,41,41,300,300,300,300,300,300,300,7,0,33,70.20098200467017,26.097849011421204,298.14281896688044,5183.0
1756011395,1,,Aggregated,1.000000,0.000000,26,28,39,39,41,41,300,300,300,300,300,300,300,8,0,33,66.26762836822309,26.097849011421204,298.14281896688044,5183.0
1756011396,1,,Aggregated,1.000000,0.000000,26,28,39,39,40,41,300,300,300,300,300,300,300,9,0,39,63.34674943031536,26.097849011421204,298.14281896688044,5183.0
1756011397,1,,Aggregated,1.000000,0.000000,24,27,39,39,40,41,300,300,300,300,300,300,300,10,0,33,59.42274099215865,24.106665048748255,298.14281896688044,5183.0
1756011398,1,,Aggregated,1.000000,0.000000,24,27,33,39,40,40,41,300,300,300,300,300,300,11,0,33,56.86241154431958,24.106665048748255,298.14281896688044,5183.0
1756011399,1,,Aggregated,1.000000,0.000000,24,27,33,39,40,40,41,300,300,300,300,300,300,12,0,31,54.36399390843386,24.106665048748255,298.14281896688044,5183.0
1756011400,1,,Aggregated,1.000000,0.000000,24,27,33,39,40,41,65,300,300,300,300,300,300,13,0,33,55.155437923251434,24.106665048748255,298.14281896688044,5183.0
1756011401,1,,Aggregated,1.000000,0.000000,24,27,33,39,40,41,65,300,300,300,300,300,300,14,0,31,53.07533528788814,24.106665048748255,298.14281896688044,5183.0
1756011402,1,,Aggregated,1.000000,0.000000,24,27,33,39,41,43,65,300,300,300,300,300,300,15,0,33,52.415787731297314,24.106665048748255,298.14281896688044,5183.0
1756011403,1,,Aggregated,1.000000,0.000000,24,27,33,39,41,41,65,300,300,300,300,300,300,16,0,31,50.724722183076665,24.106665048748255,298.14281896688044,5183.0
1756011404,1,,Aggregated,1.000000,0.000000,24,27,31,39,40,41,65,300,300,300,300,300,300,17,0,31,49.43551187513067,24.106665048748255,298.14281896688044,5183.0
1756011405,1,,Aggregated,1.000000,0.000000,24,27,31,39,40,41,65,300,300,300,300,300,300,18,0,29,48.21157533054551,24.106665048748255,298.14281896688044,5183.0
1756011406,1,,Aggregated,1.000000,0.000000,24,27,29,39,40,41,65,300,300,300,300,300,300,19,0,29,47.176575625168255,24.106665048748255,298.14281896688044,5183.0
1756011407,1,,Aggregated,1.000000,0.000000,24,27,29,39,40,41,65,300,300,300,300,300,300,20,0,29,46.19796449551359,24.106665048748255,298.14281896688044,5183.0
1756011408,1,,Aggregated,1.000000,0.000000,24,27,29,33,39,40,43,65,300,300,300,300,300,21,0,29,45.55785937589549,24.106665048748255,298.14281896688044,5183.0
1756011409,1,,Aggregated,1.000000,0.000000,24,27,31,36,39,40,43,65,300,300,300,300,300,22,0,29,45.14244167578661,24.106665048748255,298.14281896688044,5183.0
1756011410,1,,Aggregated,1.000000,0.000000,24,27,31,36,39,40,43,65,300,300,300,300,300,22,0,29,45.14244167578661,24.106665048748255,298.14281896688044,5183.0
1756011411,1,,Aggregated,0.900000,0.000000,24,27,29,36,39,40,43,65,300,300,300,300,300,23,0,29,44.20299616986481,23.535195039585233,298.14281896688044,5183.0
1756011412,1,,Aggregated,0.900000,0.000000,24,27,31,36,40,41,49,65,300,300,300,300,300,24,0,29,44.388396204643264,23.535195039585233,298.14281896688044,5183.0
1756011413,1,,Aggregated,0.900000,0.000000,24,27,29,36,39,41,49,65,300,300,300,300,300,25,0,29,43.59291379805654,23.535195039585233,298.14281896688044,5183.0
1756011414,1,,Aggregated,0.900000,0.000000,24,26,29,36,39,40,49,65,300,300,300,300,300,26,0,29,42.86128530601183,23.535195039585233,298.14281896688044,5183.0
1756011415,1,,Aggregated,0.900000,0.000000,24,26,29,35,39,40,49,65,300,300,300,300,300,27,0,29,42.573918812666776,23.535195039585233,298.14281896688044,5183.0
