Method,Name,Error,Occurrences
GET,/productpage,HTTPError('502 Server Error: Bad Gateway for url: /productpage'),2
GET,/productpage,"ConnectionResetError(104, 'Connection reset by peer')",12
GET,/productpage,RemoteDisconnected('Remote end closed connection without response'),3
GET,/productpage,HTTPError('503 Server Error: Service Unavailable for url: /productpage'),28075
