Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9950,31,63,105.73071039057145,6.645302986726165,2186.3989119883627,10480.48984924623,2.14217449482981,0.006674111491429558,7,30,63,95,110,130,200,290,670,890,1700,2200,2200
GET,/cart,19639,61,69,112.10326875811181,5.039382027462125,2204.000203870237,15795.325118386883,4.2281572767801645,0.013132929063780743,5,34,69,99,110,150,210,320,640,870,1700,2200,2200
POST,/cart,39798,155,100.0,139.34627534045222,4.124531988054514,2607.8703380189836,19021.29576863159,8.568267391481083,0.03337055745714779,4,62,100,150,190,200,280,310,410,520,1500,2300,2600
POST,/cart/checkout,10202,35,270.0,316.6624573710037,6.610953016206622,2727.926986059174,6759.44373652225,2.1964285624375597,0.007535287167743049,7,180,270,330,400,420,570,710,1000,1300,2200,2600,2700
GET,/product/0PUK6V6EV0,15389,56,52,107.24253348928833,6.248875986784697,2371.3612610008568,7782.52102150887,3.3131581206970795,0.012056459468388878,6,29,52,92,100,120,190,310,750,1000,1900,2300,2400
GET,/product/1YMWWN1N4O,15455,57,54,106.92572633602359,6.212027044966817,2555.655088974163,7798.137043028146,3.327367519356252,0.01227175338746725,6,28,54,92,110,130,200,300,720,1000,1800,2400,2600
GET,/product/2ZYFJ3GM2N,15435,60,52,106.60354278860707,6.133694900199771,2273.4241189900786,7803.219630709426,3.3230616409746845,0.01291763514470237,6,29,52,91,100,120,200,310,770,1000,1800,2200,2300
GET,/product/66VCHSJNUP,15292,51,57,108.57203735151978,6.593730999156833,2351.064666872844,7769.723580957363,3.2922746105464773,0.010979989872997014,7,29,57,93,110,120,200,300,740,1000,1900,2300,2400
GET,/product/6E92ZMYYFZ,15179,66,53,109.94166652725986,6.473576184362173,2515.587493078783,7754.044798735094,3.267946397690621,0.014209398659172607,6,28,53,92,100,120,200,330,780,1100,2000,2400,2500
GET,/product/9SIQT8TOJO,15571,55,54,107.61087384962168,6.511509884148836,2389.0758550260216,7805.489692376855,3.3523416139693434,0.011841165549310506,7,29,54,92,100,120,200,300,760,1100,2000,2300,2400
GET,/product/L9ECAV7KIM,15442,57,55,110.31692201098139,6.376207107678056,2678.327684989199,7768.722639554462,3.324568698408233,0.01227175338746725,6,29,55,93,110,120,200,330,780,1000,2000,2400,2700
GET,/product/LS4PSXUNUM,15278,39,56,107.80976984535539,6.361284060403705,2292.190045118332,7773.4469171357505,3.2892604956793803,0.00839646284405654,6,29,56,92,100,120,200,330,750,1000,1900,2300,2300
GET,/product/OLJCESPC7Z,15482,61,51,107.05887650614495,6.4177908934652805,2522.822355851531,7798.531585066529,3.333180455171368,0.013132929063780743,6,29,51,91,100,120,200,310,750,990,1900,2200,2500
POST,/setCurrency,19604,57,75,111.69722304100868,9.421865921467543,2199.6400121133775,10481.594215466232,4.220621989612421,0.01227175338746725,9,35,75,100,120,150,200,290,600,830,1700,2200,2200
,Aggregated,237716,841,77,122.7546937480889,4.124531988054514,2727.926986059174,10618.471924481313,51.17880926763448,0.18106218594491155,4,31,77,100,130,170,250,390,700,970,1900,2300,2700
